time,LTHI_x,LTHI_y,LTHI_z,LKNE_x,LKNE_y,LKNE_z,LTIB_x,LTIB_y,LTIB_z,LANK_x,LANK_y,LANK_z,LHEE_x,LHEE_y,LHEE_z,LTOE_x,LTOE_y,LTOE_z,RTHI_x,RTHI_y,RTHI_z,RKNE_x,RKNE_y,RKNE_z,RTIB_x,RTIB_y,RTIB_z,RANK_x,RANK_y,RANK_z,RHEE_x,RHEE_y,RHEE_z,RTOE_x,RTOE_y,RTOE_z,LMT5_x,LMT5_y,LMT5_z,LMT1_x,LMT1_y,LMT1_z,RMT5_x,RMT5_y,RMT5_z,RMT1_x,RMT1_y,RMT1_z,*16_x,*16_y,*16_z,*17_x,*17_y,*17_z,*18_x,*18_y,*18_z,*19_x,*19_y,*19_z,*20_x,*20_y,*20_z,*21_x,*21_y,*21_z,*22_x,*22_y,*22_z
14.1,-3.3157961294994607,7.879357123687328,-6.819651947178272,-3.1255092685183286,7.628631421283671,-4.752966202356674,-3.2075869034025004,7.431039262614263,-3.085980155632342,-2.6805370494603267,7.396476275105556,-0.5982532748970399,-2.184822491448614,6.903191984373507,-0.15788753156615343,-2.540303135358471,8.943939619423304,-0.24819779794966124,0.26618317962773475,8.181973083720209,-6.612955174454555,0.16886720279901013,8.088569765495436,-4.664819536846437,0.3932639224842802,7.674595775725038,-3.161675954721659,0.18852113302377305,7.51557722459188,-0.7052521357256438,-0.3749447166559534,6.985429531363479,-0.21644654743865388,0.38786337939210114,8.9103898154857,-0.22663836926285086,-3.0089241881163957,8.480648614153665,-0.15502219807306972,-2.098649092495833,8.923758955811877,-0.24967011847339293,0.7274046926035425,8.408523371625165,-0.15575008044205418,-0.06546402308052723,8.982267865636913,-0.21307849407765644,,,,,,,,,,,,,,,,,,,,,
14.11,-3.3065023064650063,7.892319159530416,-6.821091766482027,-3.1154592199148397,7.640238476688296,-4.755812576804772,-3.1999004411719625,7.437216020288702,-3.0897213054510644,-2.678494508002075,7.394900347406406,-0.59933977694795,-2.1841305053800966,6.903006437502654,-0.15724546081024116,-2.541766453196857,8.943852339151817,-0.24766297740497478,0.26801057216501434,8.187365539654365,-6.607420506609515,0.16640424356451078,8.083018618158576,-4.659783526216813,0.3926438816045845,7.67844160083439,-3.1531032620421797,0.1909162669424056,7.520842117052325,-0.69930982933991,-0.37751437297058743,6.986899257893128,-0.2112888288954906,0.38907103622545947,8.917028609282625,-0.22342721439688162,-3.0090700621365727,8.480573540913156,-0.15533563266689399,-2.099168349076024,8.92312174879487,-0.25055106556673934,0.7292684010579791,8.412808039498145,-0.154706522344652,-0.06786472168867164,8.987587689736756,-0.21141561035627987,,,,,,,,,,,,,,,,,,,,,
14.12,-3.292036364405533,7.906761908231033,-6.821478729364003,-3.1043029091290464,7.65144514147687,-4.758019302829666,,,,-2.678040711625499,7.395516802470752,-0.6002877673442413,-2.1837382019220684,6.903060758790502,-0.15763778334175527,-2.54105417293934,8.943149214167534,-0.24811089914789264,0.271664289124363,8.191945617676993,-6.60149277236701,0.16483007062606347,8.077559023554045,-4.654372759736191,0.39439311099663854,7.678619213135107,-3.1462786161986287,0.18657685816488723,7.521771682461235,-0.6897823942501304,-0.38069445712802263,6.981976772651592,-0.207929549338008,0.39261958198354563,8.915630293884192,-0.22178958397083903,-3.009197625610284,8.480397149315536,-0.1546981490843411,-2.0987839801881307,8.923726607179788,-0.2505408993987537,0.7321819904703943,8.411484797340222,-0.15247194903034078,-0.06667120307673802,8.98774027762397,-0.2121928739802641,,,,,,,,,,,,,,,,,,,,,
14.13,-3.2826213865886302,7.922623724282744,-6.822091522319056,-3.0972441934665085,7.663362255468314,-4.759452103090609,-3.188636403337796,7.4502793744889,-3.0941204142394554,-2.6792830822031988,7.397600542658552,-0.6002003344848674,-2.182834881629759,6.902810514655471,-0.15810952786856447,-2.541377811848122,8.943104048152918,-0.24831128519077694,0.2742015014394781,8.196080139068954,-6.597341161131681,0.16548827755104867,8.072729311747935,-4.650719500540504,0.39573626587384325,7.674748973963801,-3.1405739654472313,0.18707778512512618,7.516096023408409,-0.6869077147489548,-0.37750174632292044,6.977214809867405,-0.19494084876162887,0.39139956553132293,8.913377486317358,-0.22095315439358743,-3.008619012341967,8.479883843662947,-0.1554450381820267,-2.099069014361447,8.92316447340329,-0.2504454938222729,0.734380553043323,8.408650324747327,-0.14990814827587862,-0.06584424348523665,8.985729169270485,-0.21202146056246463,,,,,,,,,,,,,,,,,,,,,
14.14,-3.2730007202997626,7.938297552057406,-6.822471771333994,-3.086894767428305,7.67613325127661,-4.761680191419714,-3.1819304708704976,7.457921586232146,-3.0962484049145473,-2.67791742061263,7.397560259456327,-0.6019657000459944,-2.182367962694883,6.9028416425844625,-0.15770320539839844,-2.54105966610328,8.942499800119549,-0.2490560857417563,0.27696980810977934,8.19993450909999,-6.592967381932567,0.16726447685216783,8.067617007174704,-4.6460988341398775,0.39653315611482043,7.668179760243447,-3.134875723387097,0.18950053745134454,7.508491653461192,-0.6832330169551142,-0.37310904622579244,6.9777403225509715,-0.18437846725333173,0.3895683201498912,8.909626876049629,-0.22058009608283413,-3.0088192076499922,8.479537163983196,-0.15568189272995525,-2.099103651811845,8.92316996656723,-0.2505412427214999,0.7365572955483799,8.405622370713445,-0.14874444629078099,-0.06372787333143037,8.983309125379265,-0.21327010631702592,,,,,,,,,,,,,,,,,,,,,
14.15,-3.261642688327072,7.955011418871322,-6.82103134167869,-3.0785985640004583,7.6910673329740575,-4.764265640580675,-3.173470693227557,7.465322709113593,-3.1009865639883287,-2.677216431858767,7.397983843431234,-0.6025466402795914,-2.181519574041971,6.9030473310564275,-0.15828714970602498,-2.5408109478471204,8.941742353847417,-0.24954068579806332,0.2815097173710974,8.204552428918646,-6.5903129630465855,0.16938760378835482,8.061479311999392,-4.642550555410594,0.39949393333135674,7.659490185242362,-3.1315483919185,0.19413951439843657,7.503660720951984,-0.6795603028038073,-0.36969042905366933,6.974963833355218,-0.17709178528729552,0.3960460955788321,8.907696334100592,-0.22329816319127005,-3.0085198302152776,8.479655572183674,-0.15543301234916562,-2.0995432575149096,8.923245650159288,-0.25092301761531033,0.7399162127096304,8.402992976240967,-0.14562049540235478,-0.061930039928927094,8.981669721119033,-0.21390288828530402,,,,,,,,,,,,,,,,,,,,,
14.16,-3.250194019149376,7.970203679273936,-6.823307952955929,-3.0697792892952407,7.702950267278766,-4.76540089446155,-3.1669268090964806,7.471475052726078,-3.10342735983221,-2.6761080334460416,7.398948198878429,-0.6043284090385939,-2.1814116944057105,6.902409513687871,-0.15861104610686638,-2.5411925701530436,8.941921797202781,-0.24912772575480346,0.2885141308192729,8.209237487407677,-6.588609471873724,0.17140700910820783,8.052519961613712,-4.63991597294995,0.4030435853516252,7.65090009754374,-3.1281282870144764,0.20465892334299696,7.496182693775381,-0.682152160656031,-0.36715945376844417,6.972012173264943,-0.17091641997732765,0.3975322253063567,8.906143599760298,-0.22324119068888137,-3.008853997688277,8.479200249928226,-0.15602645525277126,-2.099170637894332,8.923151045669215,-0.2505504742886764,0.7424425340642955,8.400633967504632,-0.14411146795500507,-0.05883975374311756,8.979503583472138,-0.21570750708041686,,,,,,,,,,,,,,,,,,,,,
14.17,-3.2402498665396138,7.987458927911689,-6.8237217713060545,-3.0598708422510867,7.717463206407501,-4.767250259654588,-3.1661425073561986,7.481851639408205,-3.1059056922963464,-2.675548951427288,7.398902422512265,-0.605052285975539,-2.1808280457371154,6.902706754892165,-0.15843950871140855,-2.541408482013452,8.941508589204204,-0.24887187401491673,0.29772921850392464,8.214886290992354,-6.5888645988211465,0.17363141625453338,8.041685000918392,-4.638375445640634,0.40357401899455425,7.6431077393194755,-3.1240929477492045,0.2003822663340955,7.497292923242753,-0.670996002458125,-0.3661824335266104,6.97166122112435,-0.1670000611171112,0.39848719659848797,8.904455367376158,-0.2229869601952963,-3.0076479430277345,8.47885112884228,-0.1557922423826401,-2.0992577655779314,8.922874556417582,-0.25083529865364795,0.7449094987308342,8.399445002687457,-0.14239229837673228,-0.060448311408274336,8.978969525866887,-0.21474713799177536,,,,,,,,,,,,,,,,,,,,,
14.18,-3.2280785411280704,8.005727360120545,-6.824756317181368,-3.0468889699826605,7.731139353562753,-4.768865860204414,-3.1590471706007293,7.491235184120342,-3.1073128577922375,-2.674326722450701,7.399929033817443,-0.6054878480995924,-2.1806798828986302,6.902761686531562,-0.15875133159567412,-2.540867710541164,8.9411637405791,-0.2495806066040558,0.3045510986920199,8.21990521177861,-6.58805588301891,0.17620872103701402,8.031111881037532,-4.638165179532052,0.4057944779292981,7.635260449455814,-3.121973807171571,0.20230952764355692,7.493724197736583,-0.6685278170884885,-0.3674543680074578,6.97119125043173,-0.1639589463779565,0.3997531038577904,8.903839522663361,-0.2238604114086833,-3.0082607359827875,8.4782529843244,-0.15722351676471114,-2.099356947704621,8.92279582106778,-0.250770219919751,0.7468913102099748,8.39830608669729,-0.1406061999364301,-0.0564766108287138,8.97702860794152,-0.21627662175275475,,,,,,,,,,,,,,,,,,,,,
14.19,-3.21985100224947,8.021157657627214,-6.826351165778533,-3.0373058403140476,7.745131662820313,-4.768712356789877,-3.151806570176632,7.501307815731138,-3.109315116048265,-2.673807313282623,7.40034773497996,-0.6065582139814296,-2.180970867999548,6.902046354516301,-0.1587359106823225,-2.5400710491820178,8.94067179723072,-0.2502686063140196,0.31267756716882644,8.225823180396333,-6.588167577352351,0.1785446890023792,8.02284222790206,-4.638111163419978,0.40776724857612123,7.628229809964523,-3.12115166363526,0.20301442646202972,7.490701126515091,-0.6669640201263718,-0.3668947137841272,6.97058211958597,-0.16125772115757186,0.4006021791561949,8.902230025629024,-0.2230972812377523,-3.0077776427318668,8.47829509858127,-0.15754456167941022,-2.098182173560957,8.922435713653954,-0.2505146542821528,0.7488122391221168,8.397024958796237,-0.13870853114034531,-0.055353501989986675,8.976685590371062,-0.21710057727022658,,,,,,,,,,,,,,,,,,,,,
14.2,-3.2096468398798947,8.037327701211098,-6.827117767323898,-3.0267531672100745,7.761070993518729,-4.770721634088716,-3.1392168487783465,7.50935835266057,-3.1109890051710067,-2.672942445137892,7.4021262993933306,-0.607294069067521,-2.1807320679560576,6.9023661787279025,-0.1586446059053106,-2.5402147869717737,8.940745649768132,-0.24969888129013285,0.31983700991041175,8.231208312111903,-6.589164891783184,0.1802928502792227,8.01760663231596,-4.638237506190592,0.41011340178295796,7.622056104047829,-3.121250845761949,0.20111863640430627,7.491021561078242,-0.66398916667724,-0.3690054620279639,6.971242519961834,-0.16047959922672206,0.4015319734469358,8.901872969972942,-0.22345328785210938,-3.0050991149597053,8.477720757773795,-0.15694682724147668,-2.0986101825845935,8.922342329866979,-0.25076335346482637,0.7501932357953507,8.396683161928877,-0.13772300412379934,-0.054710768430439316,8.976244916552787,-0.21731515398662182,,,,,,,,,,,,,,,,,,,,,
14.21,-3.198651661903,8.053585025066468,-6.826504364017296,-3.015641412087348,7.7768986298837035,-4.771059158495234,-3.1337175813231397,7.519346755757624,-3.1123781652962066,-2.6722481702510663,7.402498003486585,-0.6087472016644355,-2.180308941744812,6.90241561720336,-0.15936330439083335,-2.5401398663191515,8.94071513219069,-0.24960376181594057,0.32715617402293873,8.237389952598733,-6.588642430857362,0.1823289830462116,8.012671329691898,-4.637495623882955,0.41210619958997796,7.6165501227255845,-3.121850516158702,0.2001181748482992,7.490241531798802,-0.663280014471411,-0.367575522789906,6.970841518994234,-0.1592387926748664,0.40186301286824744,8.901739913335291,-0.22334836460616359,-3.003960809321086,8.4776646054313,-0.15672246582681382,-2.097951460675489,8.922430830841563,-0.25028840459238566,0.7502257370153274,8.396636775211164,-0.13748208692337371,-0.0542648589402841,8.97625895463841,-0.21766967286907857,,,,,,,,,,,,,,,,,,,,,
14.22,-3.188788686049236,8.069767275681329,-6.827035980216351,-3.006649102718029,7.793846871692381,-4.770916641408576,-3.126360098577436,7.529506667639907,-3.112220389420827,-2.6703450941217284,7.404574419455798,-0.6095549637923767,-2.1800358094266983,6.902648161143475,-0.15971730828917075,-2.5395192913818505,8.94056010289728,-0.25058923161202884,0.3354513093355749,8.242494322601829,-6.5896916251698485,0.18539714398837503,8.008086979208429,-4.6378166687976545,0.4097862914997421,7.609463330891799,-3.1212746494723547,0.2000789406877992,7.489625076734455,-0.6620209355200615,-0.368283683174468,6.970886074657301,-0.15814719800322052,0.40206152970951337,8.901542159433461,-0.22393239474447668,-3.003647088624973,8.477717706016051,-0.15729701644263372,-2.0975049885174997,8.9226249226341,-0.250163454186243,0.7509946273790007,8.396512873846746,-0.13754535367610998,-0.05432335732154492,8.975897016169938,-0.2184172962959714,,,,,,,,,,,,,,,,,,,,,
14.23,-3.176652761027526,8.085171938422945,-6.8266831970211115,-2.9956169984724283,7.810773751196848,-4.770527542296179,-3.1163274449930896,7.5405698998145,-3.112584158943946,-2.6704226087684333,7.405124956552868,-0.60969145365749,-2.1794866456206137,6.90326522655937,-0.16032775520545783,-2.5397870831239118,8.940792646837394,-0.24992078222511438,0.34483821098123,8.249679991386529,-6.590554051908384,0.18815017279646895,8.004854557405679,-4.63769642954253,0.4087642959781519,7.601910230474687,-3.1202004307463653,0.19941468746778312,7.487878250601625,-0.6610824437197493,-0.36963359006568197,6.971180874455399,-0.15729433661786452,0.40278121047956006,8.900892135033928,-0.22310410954570514,-3.002829217549504,8.477964898393338,-0.1578475821499321,-2.096996413089414,8.922371016389775,-0.24995889104994617,0.7517343734562161,8.395953181476443,-0.13627097778906716,-0.053639987700283775,8.9760239692921,-0.21935273633853924,,,,,,,,,,,,,,,,,,,,,
14.24,-3.1651519067924028,8.100558290618096,-6.825906829850965,-2.986078424466882,7.826205269406614,-4.769596756184171,-3.1088643714294335,7.550354445494236,-3.116372000656156,-2.6659679579890962,7.4066221489022155,-0.6127296310798158,-2.178796490606743,6.9039390546693085,-0.16077333090960977,-2.538377323633938,8.941166181985295,-0.2514347401685697,0.35162776161072173,8.256637388691956,-6.590041966958893,0.1903491168391156,8.000870792846285,-4.6379860413524625,0.4083710769928004,7.59400129510459,-3.120584647046371,0.19850736174343453,7.48600569204973,-0.6612076420812087,-0.3696797479015643,6.971871792408706,-0.1557634032719566,0.4031335359111381,8.90065043582058,-0.22382405734455446,-3.0021471496936556,8.478061333938058,-0.157966858194019,-2.096275435322326,8.922555952909079,-0.2497842732865152,0.7523865340861704,8.395178035009394,-0.13625477486279358,-0.053266338111467526,8.976004438042537,-0.21902453886662698,,,,,,,,,,,,,,,,,,,,,
14.25,-3.156056448011327,8.113922548131882,-6.8260746765269005,-2.9729006293512725,7.840127388236056,-4.771393020792459,-3.102568900378742,7.558829787101672,-3.1163115758528193,-2.664074037132991,7.408064409612166,-0.6128372436872738,-2.178163098286916,6.904009855448976,-0.16213533039088546,-2.538009281649977,8.940780439806417,-0.25134606753261224,0.3575749889558182,8.26347942955465,-6.5887828117136,0.1925030283815481,7.997671940378723,-4.637432147321874,0.40796790164780816,7.587408888025379,-3.1211776035760863,0.1988344529531645,7.485203690114531,-0.6611806340251718,-0.3712494957912824,6.971160122502738,-0.1551264632837519,0.40300147109475404,8.899986373335423,-0.22368861652116578,-3.001361627250276,8.478604546816541,-0.1579605067232137,-2.0960741718990903,8.922856856222666,-0.2500420705219639,0.7520866988877941,8.395074275246088,-0.13613849335599326,-0.0535872685852512,8.976022748589003,-0.21931811796162748,,,,,,,,,,,,,,,,,,,,,
14.26,-3.144690176292727,8.127683534152425,-6.826093597424915,-2.9618810373124234,7.8557743605425685,-4.769829910475835,-3.0961040567732425,7.568202955837478,-3.116833731602867,-2.6617595840597232,7.409354082434902,-0.6134035354836982,-2.1776252259844853,6.9043205243873444,-0.16138478872064965,-2.5379755597269025,8.94080546421992,-0.2512607518301735,0.36376937053123015,8.269933897183819,-6.587710424042257,0.1954955820255968,7.994191715847137,-4.636856280635527,0.40941477814134686,7.5823686049349135,-3.1209761875649633,0.19992051631389884,7.482948441141502,-0.6617721409699584,-0.3705974114552717,6.971198574650316,-0.1540050186066697,0.4033118730043199,8.899607955375131,-0.22392995333828125,-3.0012203308667154,8.478805352476115,-0.15862379673219174,-2.096172743674231,8.922610884548476,-0.2501020947820969,0.7521888564782842,8.394920466655776,-0.13571571046749398,-0.05347187876391679,8.975742597228077,-0.21992932781735064,,,,,,,,,,,,,,,,,,,,,
14.27,-3.1327452913058096,8.1417747203609,-6.825154266391223,-2.954229975471719,7.8686265331068626,-4.769467666831588,-3.0889305950195194,7.5777232192965585,-3.117786185194859,-2.6611263443277835,7.4094120658320435,-0.614408708190723,-2.176604413019021,6.904962614216743,-0.16253556841904881,-2.5379763226663385,8.940763960314598,-0.25141202364686066,0.370997268013717,8.278821226086734,-6.5864518791485125,0.1978963616960563,7.991295597747808,-4.636356097541238,0.4088522247481592,7.577906324761216,-3.119922720791635,0.20100823906790666,7.481865677493829,-0.6615446324301217,-0.37115546350578654,6.970361782676832,-0.15283415452761595,0.4034401612704954,8.89897318976432,-0.22390017962678854,-3.001210260066159,8.478790704038943,-0.15862212780217533,-2.0956722554041676,8.922904463643476,-0.24946444907491383,0.7524291824006468,8.394788020369674,-0.135127188523251,-0.0523833167765293,8.975315961495426,-0.2203602932313018,,,,,,,,,,,,,,,,,,,,,
