time,l_thi_x,l_thi_y,l_thi_z,l_kne_x,l_kne_y,l_kne_z,l_tib_x,l_tib_y,l_tib_z,l_ank_x,l_ank_y,l_ank_z,l_hee_x,l_hee_y,l_hee_z,l_toe_x,l_toe_y,l_toe_z,r_thi_x,r_thi_y,r_thi_z,r_kne_x,r_kne_y,r_kne_z,r_tib_x,r_tib_y,r_tib_z,r_hee_x,r_hee_y,r_hee_z,r_toe_x,r_toe_y,r_toe_z,l_mt5_x,l_mt5_y,l_mt5_z,l_mt1_x,l_mt1_y,l_mt1_z,r_mt5_x,r_mt5_y,r_mt5_z,r_mt1_x,r_mt1_y,r_mt1_z,r_ank_x,r_ank_y,r_ank_z
12.19,,,,0.4450332946777344,-0.9802203369140625,0.48075927734375,,,,0.4382008056640625,-0.9336714477539063,0.06415628051757813,0.38987509155273437,-0.8853317260742187,0.01594737434387207,0.43320245361328125,-1.0876273193359376,0.02493436622619629,,,,0.11543306732177734,-1.0027601318359376,0.46001715087890627,0.09682821655273438,-0.9515555419921875,0.31050097656250003,0.17793873596191406,-0.8786851806640625,0.015374565124511718,0.09905982971191407,-1.0711600341796874,0.021442012786865236,,,,0.3889766845703125,-1.087301025390625,0.025114496231079104,0.06393291473388672,-1.0208198852539063,0.012028541564941406,,,,0.12219593811035157,-0.9305493774414063,0.06425450897216797
12.2,,,,0.4450306701660156,-0.9802201538085937,0.4807624816894531,,,,0.4384447937011719,-0.9339042358398437,0.06402455902099609,0.3898943481445313,-0.8853265380859375,0.015944987297058105,0.43306915283203123,-1.087694091796875,0.025009546279907226,,,,0.11548673248291016,-1.0027208862304688,0.4599570007324219,0.09678684997558594,-0.9515247192382813,0.31056680297851563,0.1778409423828125,-0.8785924072265625,0.015384342193603516,0.09902096557617188,-1.0712098388671876,0.02148802375793457,,,,0.38889498901367187,-1.0873564453125,0.025113367080688478,0.06393534851074219,-1.0208359375,0.011990005493164063,,,,0.1225806884765625,-0.9305228881835937,0.06395188522338867
12.21,,,,0.4449793395996094,-0.9802223510742187,0.48083248901367187,,,,0.43852117919921874,-0.933915771484375,0.06401146697998047,0.38989691162109374,-0.8853275756835938,0.015934123039245605,0.4332293395996094,-1.087713134765625,0.024857864379882813,,,,0.11548934173583984,-1.0027216186523438,0.4599567565917969,0.09682906341552734,-0.9515202026367188,0.310596923828125,0.1779765319824219,-0.87874755859375,0.015388594627380372,0.09896952056884765,-1.071167724609375,0.02153196144104004,,,,0.38888528442382814,-1.087293212890625,0.025068393707275392,0.06388957595825195,-1.0208251953125,0.012007658004760743,,,,0.12119552612304688,-0.9303019409179688,0.0648787078857422
12.22,,,,0.44503384399414064,-0.9802210083007813,0.4807593994140625,,,,0.4385217590332031,-0.9336756591796875,0.06403157806396484,0.38990863037109375,-0.8853266601562501,0.015940999031066896,0.4331747741699219,-1.0877249755859375,0.024929140090942385,,,,0.11549044799804688,-1.00272119140625,0.4599542846679688,0.09688304138183594,-0.9515618286132813,0.31050250244140626,0.17829252624511718,-0.8789724731445313,0.015335045814514161,0.09906755065917969,-1.071139892578125,0.02147833251953125,,,,0.3889614562988281,-1.0873050537109374,0.025086904525756838,0.06393051528930664,-1.020825439453125,0.012033615112304687,,,,0.12163875579833984,-0.9303822631835937,0.06459246826171876
12.23,,,,0.4450364074707031,-0.9802197265625,0.4807543640136719,,,,0.43838128662109377,-0.9337706298828126,0.0640445785522461,0.3899398193359375,-0.8853246459960937,0.015935352325439453,0.43319033813476565,-1.087659912109375,0.024861928939819335,,,,0.11530951690673828,-1.00264697265625,0.46004776000976566,0.09680171966552735,-0.9514683837890625,0.31058111572265623,0.17799311828613282,-0.8787241821289062,0.015390706062316895,0.09906285095214844,-1.0712301025390625,0.02151329231262207,,,,0.38893484497070313,-1.0873172607421875,0.025124700546264648,0.06395396423339844,-1.0208156127929688,0.012048380851745605,,,,0.12172554016113281,-0.9304297485351563,0.06458895111083984
12.24,,,,0.44504885864257815,-0.9802499389648438,0.48078720092773436,,,,0.4384891357421875,-0.933671630859375,0.0640625,0.3898957214355469,-0.8853010864257813,0.01594254207611084,0.43320101928710936,-1.087644775390625,0.024905216217041014,,,,0.11530085754394531,-1.00264453125,0.4600526733398438,0.09682147979736329,-0.9514649047851562,0.3105376892089844,0.17788427734375,-0.8786866455078125,0.015333508491516113,0.09905457305908204,-1.0711446533203126,0.021488712310791015,,,,0.38895974731445315,-1.0873155517578126,0.025096498489379882,0.06389920043945313,-1.0208382568359375,0.012046936988830567,,,,0.12121199035644531,-0.9302914428710938,0.06492288970947266
12.25,,,,0.4450536193847656,-0.9801686401367188,0.48066650390625,,,,0.43831921386718753,-0.933795654296875,0.06406996154785156,0.38992190551757816,-0.885335205078125,0.015932268142700195,0.43311444091796875,-1.087656982421875,0.024972124099731447,,,,0.11532339477539062,-1.0026510620117188,0.4600382385253906,0.09684322357177734,-0.9514677734375,0.31052627563476565,0.17805072021484375,-0.8787973022460938,0.015385349273681641,0.09905908203125,-1.0711314697265626,0.021453378677368164,,,,0.38893316650390625,-1.0873266601562501,0.02512154579162598,0.06390808868408203,-1.0207982788085939,0.012032444000244141,,,,,,
12.26,,,,0.4449515991210938,-0.9801077270507813,0.48088333129882815,,,,0.43859976196289063,-0.933734619140625,0.06400605773925781,0.38992156982421877,-0.8853377685546875,0.015931904792785646,0.4331859130859375,-1.087658447265625,0.02486009979248047,,,,0.11532064056396485,-1.0026502075195314,0.46003878784179686,0.09683147430419922,-0.9515357666015625,0.3105476379394531,0.17800515747070314,-0.87874951171875,0.015377567291259766,0.09904825592041015,-1.0711612548828124,0.021487403869628906,,,,0.388894287109375,-1.087355712890625,0.02512213706970215,0.06391067504882812,-1.020833984375,0.01206745147705078,,,,0.12116104125976562,-0.9302385864257813,0.06494670104980468
12.27,,,,0.4451378479003906,-0.980048095703125,0.4807901916503906,,,,0.43844650268554686,-0.9338345947265625,0.0639970588684082,0.38991616821289066,-0.88532861328125,0.015938661575317384,0.43311099243164064,-1.08765234375,0.02497654151916504,,,,0.11531819152832032,-1.0026487426757813,0.4600406188964844,0.09683434295654297,-0.9515317993164063,0.310539794921875,0.17791101074218751,-0.8786483764648437,0.015384529113769531,0.09901661682128907,-1.071195556640625,0.02149454689025879,,,,0.38887969970703123,-1.0873045654296876,0.025136329650878905,0.06389387893676758,-1.0208402709960938,0.012042380332946778,,,,0.12107105255126953,-0.9303145141601563,0.06486492156982422
12.28,,,,0.4449787292480469,-0.979959228515625,0.4808841247558594,,,,0.4385686340332031,-0.933726806640625,0.06403273773193359,0.3898017272949219,-0.8853752441406251,0.015907116889953613,0.4331339111328125,-1.0876656494140626,0.024935028076171876,,,,0.11531502532958984,-1.0026487426757813,0.46004290771484374,0.09679348754882813,-0.9515745239257812,0.31052001953125,0.17790858459472655,-0.8786419677734375,0.015380651473999024,0.09908365631103516,-1.071222412109375,0.02142895317077637,,,,0.38893463134765627,-1.0872755126953124,0.025107383728027344,0.06391867828369141,-1.0208417358398438,0.01206455421447754,,,,0.11962496185302735,-0.9291327514648438,0.06644778442382812
